Movie_ID,Title,Release_Date,Genre,Rating,Duration,Language,Poster_URL
11,Over My Dead Body,9/25/2021,Comedy|Fantasy|Romance,4.3,177,English,https://is.gd/pede/justo.xml?eleifend=posuere&luctus=cubilia&ultricies=curae&eu=mauris&nibh=viverra&quisque=diam&id=vitae&justo=quam&sit=suspendisse&amet=potenti&sapien=nullam&dignissim=porttitor&vestibulum=lacus&vestibulum=at&ante=turpis&ipsum=donec&primis=posuere&in=metus&faucibus=vitae&orci=ipsum&luctus=aliquam&et=non&ultrices=mauris&posuere=morbi&cubilia=non&curae=lectus&nulla=aliquam&dapibus=sit&dolor=amet&vel=diam&est=in&donec=magna&odio=bibendum&justo=imperdiet&sollicitudin=nullam&ut=orci&suscipit=pede&a=venenatis&feugiat=non&et=sodales&eros=sed&vestibulum=tincidunt&ac=eu&est=felis&lacinia=fusce&nisi=posuere&venenatis=felis&tristique=sed&fusce=lacus&congue=morbi&diam=sem&id=mauris&ornare=laoreet&imperdiet=ut&sapien=rhoncus&urna=aliquet&pretium=pulvinar&nisl=sed&ut=nisl&volutpat=nunc&sapien=rhoncus&arcu=dui&sed=vel&augue=sem&aliquam=sed&erat=sagittis&volutpat=nam&in=congue&congue=risus&etiam=semper&justo=porta&etiam=volutpat&pretium=quam&iaculis=pede&justo=lobortis&in=ligula&hac=sit&habitasse=amet&platea=eleifend&dictumst=pede&etiam=libero&faucibus=quis&cursus=orci&urna=nullam&ut=molestie&tellus=nibh&nulla=in&ut=lectus&erat=pellentesque&id=at&mauris=nulla&vulputate=suspendisse&elementum=potenti&nullam=cras&varius=in&nulla=purus&facilisi=eu&cras=magna&non=vulputate&velit=luctus
12,Speaking Parts,9/12/2020,Drama,8.5,111,Finnish,https://stanford.edu/vel/nisl/duis/ac.jsp?maecenas=massa&tincidunt=quis&lacus=augue&at=luctus&velit=tincidunt&vivamus=nulla&vel=mollis&nulla=molestie&eget=lorem&eros=quisque&elementum=ut&pellentesque=erat&quisque=curabitur&porta=gravida&volutpat=nisi&erat=at&quisque=nibh&erat=in&eros=hac&viverra=habitasse&eget=platea&congue=dictumst&eget=aliquam&semper=augue&rutrum=quam&nulla=sollicitudin&nunc=vitae&purus=consectetuer&phasellus=eget&in=rutrum&felis=at&donec=lorem&semper=integer&sapien=tincidunt&a=ante&libero=vel&nam=ipsum&dui=praesent&proin=blandit&leo=lacinia&odio=erat&porttitor=vestibulum&id=sed&consequat=magna&in=at&consequat=nunc&ut=commodo&nulla=placerat&sed=praesent&accumsan=blandit&felis=nam&ut=nulla&at=integer&dolor=pede&quis=justo&odio=lacinia&consequat=eget&varius=tincidunt&integer=eget&ac=tempus&leo=vel&pellentesque=pede&ultrices=morbi&mattis=porttitor&odio=lorem&donec=id&vitae=ligula&nisi=suspendisse&nam=ornare&ultrices=consequat&libero=lectus&non=in&mattis=est&pulvinar=risus&nulla=auctor&pede=sed&ullamcorper=tristique&augue=in&a=tempus
13,"Eagle Has Landed, The",4/7/2022,Drama|War,4,135,Malagasy,http://skyrock.com/volutpat.jsp?blandit=hac&lacinia=habitasse&erat=platea&vestibulum=dictumst&sed=etiam&magna=faucibus
14,"Carpenter, The",8/18/2022,Horror|Thriller,4.2,125,Pashto,http://lycos.com/in/congue.png?nibh=id&in=turpis&hac=integer&habitasse=aliquet&platea=massa&dictumst=id&aliquam=lobortis&augue=convallis&quam=tortor&sollicitudin=risus&vitae=dapibus&consectetuer=augue&eget=vel&rutrum=accumsan&at=tellus&lorem=nisi&integer=eu&tincidunt=orci&ante=mauris&vel=lacinia&ipsum=sapien&praesent=quis&blandit=libero&lacinia=nullam&erat=sit&vestibulum=amet&sed=turpis&magna=elementum&at=ligula&nunc=vehicula&commodo=consequat&placerat=morbi&praesent=a&blandit=ipsum&nam=integer&nulla=a&integer=nibh&pede=in&justo=quis&lacinia=justo&eget=maecenas&tincidunt=rhoncus&eget=aliquam&tempus=lacus&vel=morbi&pede=quis&morbi=tortor&porttitor=id&lorem=nulla&id=ultrices&ligula=aliquet&suspendisse=maecenas&ornare=leo&consequat=odio&lectus=condimentum&in=id&est=luctus&risus=nec&auctor=molestie&sed=sed&tristique=justo&in=pellentesque&tempus=viverra&sit=pede&amet=ac&sem=diam&fusce=cras&consequat=pellentesque&nulla=volutpat&nisl=dui&nunc=maecenas&nisl=tristique&duis=est&bibendum=et&felis=tempus&sed=semper&interdum=est
15,Out of the Fog,3/14/2023,Crime|Drama|Film-Noir,5.5,92,Greek,https://abc.net.au/odio/cras/mi/pede/malesuada/in/imperdiet.png?posuere=natoque&cubilia=penatibus&curae=et&mauris=magnis&viverra=dis&diam=parturient&vitae=montes&quam=nascetur&suspendisse=ridiculus&potenti=mus&nullam=vivamus&porttitor=vestibulum&lacus=sagittis&at=sapien&turpis=cum&donec=sociis&posuere=natoque&metus=penatibus&vitae=et&ipsum=magnis&aliquam=dis&non=parturient&mauris=montes&morbi=nascetur&non=ridiculus&lectus=mus&aliquam=etiam&sit=vel&amet=augue&diam=vestibulum&in=rutrum&magna=rutrum&bibendum=neque&imperdiet=aenean&nullam=auctor&orci=gravida&pede=sem&venenatis=praesent&non=id&sodales=massa&sed=id&tincidunt=nisl&eu=venenatis&felis=lacinia&fusce=aenean&posuere=sit&felis=amet&sed=justo&lacus=morbi&morbi=ut&sem=odio&mauris=cras&laoreet=mi&ut=pede&rhoncus=malesuada&aliquet=in&pulvinar=imperdiet&sed=et&nisl=commodo&nunc=vulputate&rhoncus=justo&dui=in&vel=blandit&sem=ultrices&sed=enim&sagittis=lorem&nam=ipsum&congue=dolor&risus=sit&semper=amet&porta=consectetuer&volutpat=adipiscing&quam=elit&pede=proin&lobortis=interdum&ligula=mauris&sit=non&amet=ligula
16,Molokai (Molokai: The Story of Father Damien),8/1/2022,Drama,5.8,179,Hungarian,http://paginegialle.it/odio/cras.jsp?lacus=suscipit&at=a&turpis=feugiat&donec=et&posuere=eros&metus=vestibulum&vitae=ac&ipsum=est&aliquam=lacinia&non=nisi&mauris=venenatis&morbi=tristique&non=fusce&lectus=congue&aliquam=diam&sit=id&amet=ornare&diam=imperdiet&in=sapien&magna=urna&bibendum=pretium&imperdiet=nisl&nullam=ut&orci=volutpat&pede=sapien&venenatis=arcu&non=sed&sodales=augue&sed=aliquam&tincidunt=erat&eu=volutpat&felis=in&fusce=congue&posuere=etiam&felis=justo&sed=etiam&lacus=pretium&morbi=iaculis&sem=justo&mauris=in&laoreet=hac&ut=habitasse&rhoncus=platea&aliquet=dictumst&pulvinar=etiam&sed=faucibus&nisl=cursus&nunc=urna&rhoncus=ut&dui=tellus&vel=nulla&sem=ut&sed=erat&sagittis=id&nam=mauris&congue=vulputate&risus=elementum&semper=nullam&porta=varius&volutpat=nulla&quam=facilisi&pede=cras&lobortis=non&ligula=velit&sit=nec&amet=nisi&eleifend=vulputate&pede=nonummy&libero=maecenas
17,Starship Invasions,9/21/2020,Sci-Fi,3.5,110,Swati,http://wix.com/dapibus/duis.xml?nulla=nulla&facilisi=elit&cras=ac&non=nulla&velit=sed&nec=vel&nisi=enim&vulputate=sit&nonummy=amet&maecenas=nunc&tincidunt=viverra&lacus=dapibus&at=nulla&velit=suscipit&vivamus=ligula&vel=in
18,Coelacanth: The Fish That Time Forgot,,Documentary,7.1,168,Dari,https://rediff.com/proin/interdum/mauris/non/ligula.jsp?nisi=morbi&venenatis=a&tristique=ipsum&fusce=integer&congue=a&diam=nibh&id=in&ornare=quis&imperdiet=justo&sapien=maecenas&urna=rhoncus&pretium=aliquam&nisl=lacus&ut=morbi&volutpat=quis&sapien=tortor&arcu=id&sed=nulla&augue=ultrices&aliquam=aliquet&erat=maecenas&volutpat=leo&in=odio&congue=condimentum&etiam=id&justo=luctus&etiam=nec&pretium=molestie&iaculis=sed&justo=justo&in=pellentesque&hac=viverra&habitasse=pede&platea=ac&dictumst=diam&etiam=cras&faucibus=pellentesque&cursus=volutpat&urna=dui&ut=maecenas&tellus=tristique&nulla=est&ut=et&erat=tempus&id=semper&mauris=est&vulputate=quam&elementum=pharetra&nullam=magna&varius=ac&nulla=consequat&facilisi=metus&cras=sapien&non=ut&velit=nunc&nec=vestibulum&nisi=ante&vulputate=ipsum&nonummy=primis&maecenas=in&tincidunt=faucibus&lacus=orci&at=luctus&velit=et&vivamus=ultrices&vel=posuere&nulla=cubilia&eget=curae&eros=mauris&elementum=viverra&pellentesque=diam&quisque=vitae&porta=quam&volutpat=suspendisse&erat=potenti&quisque=nullam&erat=porttitor&eros=lacus&viverra=at&eget=turpis&congue=donec&eget=posuere&semper=metus&rutrum=vitae&nulla=ipsum&nunc=aliquam&purus=non&phasellus=mauris&in=morbi
19,Last Chance,9/22/2020,Comedy,5,115,Hindi,http://sun.com/at/velit/eu/est/congue.png?non=morbi&interdum=odio&in=odio&ante=elementum&vestibulum=eu&ante=interdum&ipsum=eu&primis=tincidunt&in=in&faucibus=leo&orci=maecenas&luctus=pulvinar&et=lobortis&ultrices=est&posuere=phasellus&cubilia=sit&curae=amet&duis=erat&faucibus=nulla&accumsan=tempus&odio=vivamus&curabitur=in&convallis=felis&duis=eu&consequat=sapien&dui=cursus&nec=vestibulum&nisi=proin&volutpat=eu&eleifend=mi
20,"Mummy's Curse, The",1/18/2023,Horror,9.4,122,Dutch,http://usatoday.com/in.json?tellus=est&semper=risus&interdum=auctor
21,Time to Die (Tiempo de morir),10/9/2021,Drama|Western,9.6,105,Tajik,https://zdnet.com/pede/posuere/nonummy.png?dis=suspendisse&parturient=potenti&montes=nullam&nascetur=porttitor&ridiculus=lacus&mus=at&vivamus=turpis&vestibulum=donec&sagittis=posuere&sapien=metus&cum=vitae&sociis=ipsum&natoque=aliquam&penatibus=non&et=mauris&magnis=morbi&dis=non
22,Coco Chanel & Igor Stravinsky,7/15/2021,Drama|Romance,2.8,169,Guaraní,http://answers.com/ipsum/dolor/sit/amet/consectetuer/adipiscing.jsp?in=ante&lectus=ipsum&pellentesque=primis&at=in&nulla=faucibus&suspendisse=orci&potenti=luctus&cras=et&in=ultrices&purus=posuere&eu=cubilia&magna=curae&vulputate=mauris&luctus=viverra&cum=diam&sociis=vitae&natoque=quam&penatibus=suspendisse&et=potenti&magnis=nullam&dis=porttitor&parturient=lacus&montes=at&nascetur=turpis&ridiculus=donec&mus=posuere&vivamus=metus&vestibulum=vitae&sagittis=ipsum&sapien=aliquam&cum=non&sociis=mauris&natoque=morbi&penatibus=non&et=lectus&magnis=aliquam&dis=sit&parturient=amet&montes=diam&nascetur=in&ridiculus=magna&mus=bibendum&etiam=imperdiet&vel=nullam&augue=orci&vestibulum=pede&rutrum=venenatis&rutrum=non&neque=sodales&aenean=sed&auctor=tincidunt&gravida=eu&sem=felis&praesent=fusce&id=posuere&massa=felis&id=sed&nisl=lacus&venenatis=morbi&lacinia=sem&aenean=mauris&sit=laoreet&amet=ut&justo=rhoncus&morbi=aliquet&ut=pulvinar&odio=sed&cras=nisl
23,"Last Days on Mars, The",8/9/2021,Horror|Sci-Fi,6.7,119,Mongolian,https://github.com/ut/massa/volutpat/convallis/morbi/odio.js?nisl=id&aenean=pretium&lectus=iaculis&pellentesque=diam
24,Trapped Ashes,1/23/2023,Horror,3.3,92,Nepali,https://chron.com/enim/in/tempor/turpis/nec/euismod.png?nibh=nunc&in=nisl&lectus=duis&pellentesque=bibendum&at=felis&nulla=sed&suspendisse=interdum&potenti=venenatis&cras=turpis&in=enim&purus=blandit&eu=mi&magna=in&vulputate=porttitor&luctus=pede&cum=justo&sociis=eu&natoque=massa&penatibus=donec&et=dapibus&magnis=duis&dis=at&parturient=velit&montes=eu&nascetur=est&ridiculus=congue&mus=elementum&vivamus=in&vestibulum=hac&sagittis=habitasse&sapien=platea&cum=dictumst&sociis=morbi&natoque=vestibulum&penatibus=velit&et=id&magnis=pretium&dis=iaculis&parturient=diam&montes=erat&nascetur=fermentum&ridiculus=justo&mus=nec&etiam=condimentum&vel=neque&augue=sapien&vestibulum=placerat&rutrum=ante&rutrum=nulla
25,Tora-san's Rise and Fall (Otoko wa tsurai yo: Torajiro aiaigasa),12/5/2022,Comedy,4.9,131,Filipino,http://etsy.com/donec/ut/dolor/morbi/vel/lectus.html?risus=vestibulum&semper=rutrum&porta=rutrum&volutpat=neque&quam=aenean&pede=auctor&lobortis=gravida&ligula=sem&sit=praesent&amet=id&eleifend=massa&pede=id&libero=nisl&quis=venenatis&orci=lacinia&nullam=aenean&molestie=sit&nibh=amet&in=justo&lectus=morbi&pellentesque=ut&at=odio&nulla=cras&suspendisse=mi&potenti=pede&cras=malesuada&in=in&purus=imperdiet&eu=et&magna=commodo&vulputate=vulputate&luctus=justo&cum=in&sociis=blandit&natoque=ultrices&penatibus=enim&et=lorem&magnis=ipsum&dis=dolor&parturient=sit
26,Teddy Bear (Mis),9/15/2022,Comedy|Crime,2.2,80,French,https://pcworld.com/ac.html?platea=quam&dictumst=turpis&morbi=adipiscing&vestibulum=lorem&velit=vitae&id=mattis&pretium=nibh&iaculis=ligula&diam=nec&erat=sem&fermentum=duis&justo=aliquam&nec=convallis&condimentum=nunc&neque=proin&sapien=at&placerat=turpis&ante=a&nulla=pede&justo=posuere&aliquam=nonummy&quis=integer&turpis=non&eget=velit&elit=donec&sodales=diam&scelerisque=neque&mauris=vestibulum&sit=eget&amet=vulputate&eros=ut&suspendisse=ultrices&accumsan=vel&tortor=augue&quis=vestibulum&turpis=ante&sed=ipsum&ante=primis&vivamus=in&tortor=faucibus&duis=orci&mattis=luctus&egestas=et&metus=ultrices&aenean=posuere&fermentum=cubilia&donec=curae&ut=donec&mauris=pharetra&eget=magna&massa=vestibulum&tempor=aliquet&convallis=ultrices&nulla=erat&neque=tortor&libero=sollicitudin
27,"Wild, Wild Planet (I criminali della galassia)",8/7/2020,Sci-Fi,9.8,82,Belarusian,http://indiegogo.com/sed/sagittis/nam/congue/risus/semper/porta.html?felis=ut&sed=volutpat&interdum=sapien&venenatis=arcu&turpis=sed&enim=augue&blandit=aliquam&mi=erat&in=volutpat&porttitor=in&pede=congue&justo=etiam&eu=justo&massa=etiam&donec=pretium&dapibus=iaculis&duis=justo&at=in&velit=hac&eu=habitasse&est=platea&congue=dictumst&elementum=etiam&in=faucibus&hac=cursus&habitasse=urna&platea=ut&dictumst=tellus&morbi=nulla&vestibulum=ut&velit=erat&id=id&pretium=mauris&iaculis=vulputate&diam=elementum&erat=nullam
28,The Slap,7/29/2021,Comedy|Drama|Romance,3.3,150,Guaraní,http://google.com.hk/pretium/iaculis/diam/erat.png?et=id&eros=justo&vestibulum=sit&ac=amet&est=sapien&lacinia=dignissim&nisi=vestibulum&venenatis=vestibulum&tristique=ante&fusce=ipsum&congue=primis&diam=in&id=faucibus&ornare=orci&imperdiet=luctus&sapien=et&urna=ultrices&pretium=posuere&nisl=cubilia&ut=curae&volutpat=nulla&sapien=dapibus&arcu=dolor&sed=vel&augue=est&aliquam=donec&erat=odio&volutpat=justo&in=sollicitudin&congue=ut&etiam=suscipit&justo=a&etiam=feugiat&pretium=et&iaculis=eros&justo=vestibulum&in=ac&hac=est&habitasse=lacinia&platea=nisi&dictumst=venenatis&etiam=tristique&faucibus=fusce&cursus=congue&urna=diam&ut=id&tellus=ornare&nulla=imperdiet&ut=sapien&erat=urna&id=pretium&mauris=nisl&vulputate=ut&elementum=volutpat&nullam=sapien&varius=arcu&nulla=sed&facilisi=augue&cras=aliquam&non=erat&velit=volutpat&nec=in&nisi=congue&vulputate=etiam&nonummy=justo&maecenas=etiam&tincidunt=pretium&lacus=iaculis&at=justo&velit=in&vivamus=hac&vel=habitasse&nulla=platea&eget=dictumst&eros=etiam&elementum=faucibus&pellentesque=cursus&quisque=urna&porta=ut&volutpat=tellus&erat=nulla&quisque=ut&erat=erat&eros=id&viverra=mauris&eget=vulputate&congue=elementum&eget=nullam&semper=varius&rutrum=nulla&nulla=facilisi&nunc=cras
29,Coup de torchon (Clean Slate),1/23/2023,Crime,1.8,158,Oriya,https://altervista.org/id/pretium/iaculis/diam/erat/fermentum/justo.html?risus=ut&dapibus=rhoncus&augue=aliquet&vel=pulvinar&accumsan=sed&tellus=nisl&nisi=nunc&eu=rhoncus&orci=dui&mauris=vel&lacinia=sem&sapien=sed&quis=sagittis&libero=nam&nullam=congue&sit=risus&amet=semper&turpis=porta&elementum=volutpat&ligula=quam&vehicula=pede&consequat=lobortis&morbi=ligula&a=sit&ipsum=amet&integer=eleifend&a=pede&nibh=libero&in=quis&quis=orci&justo=nullam&maecenas=molestie&rhoncus=nibh&aliquam=in&lacus=lectus&morbi=pellentesque&quis=at&tortor=nulla&id=suspendisse&nulla=potenti&ultrices=cras&aliquet=in&maecenas=purus&leo=eu&odio=magna&condimentum=vulputate&id=luctus&luctus=cum&nec=sociis&molestie=natoque&sed=penatibus&justo=et&pellentesque=magnis&viverra=dis&pede=parturient&ac=montes&diam=nascetur&cras=ridiculus&pellentesque=mus&volutpat=vivamus&dui=vestibulum&maecenas=sagittis&tristique=sapien&est=cum&et=sociis&tempus=natoque&semper=penatibus&est=et&quam=magnis&pharetra=dis&magna=parturient&ac=montes&consequat=nascetur&metus=ridiculus
30,Vince Vaughn's Wild West Comedy Show: 30 Days & 30 Nights - Hollywood to the Heartland,4/18/2020,Comedy|Documentary,3.8,180,Japanese,http://arstechnica.com/odio/consequat/varius/integer/ac.aspx?justo=praesent&maecenas=lectus&rhoncus=vestibulum&aliquam=quam&lacus=sapien&morbi=varius&quis=ut&tortor=blandit&id=non&nulla=interdum&ultrices=in&aliquet=ante&maecenas=vestibulum&leo=ante&odio=ipsum&condimentum=primis&id=in&luctus=faucibus&nec=orci&molestie=luctus&sed=et&justo=ultrices&pellentesque=posuere&viverra=cubilia&pede=curae&ac=duis&diam=faucibus&cras=accumsan&pellentesque=odio&volutpat=curabitur&dui=convallis&maecenas=duis&tristique=consequat&est=dui&et=nec&tempus=nisi&semper=volutpat&est=eleifend&quam=donec&pharetra=ut&magna=dolor&ac=morbi&consequat=vel&metus=lectus&sapien=in&ut=quam&nunc=fringilla&vestibulum=rhoncus&ante=mauris&ipsum=enim&primis=leo&in=rhoncus&faucibus=sed&orci=vestibulum&luctus=sit&et=amet&ultrices=cursus&posuere=id&cubilia=turpis&curae=integer&mauris=aliquet&viverra=massa&diam=id&vitae=lobortis&quam=convallis&suspendisse=tortor&potenti=risus&nullam=dapibus&porttitor=augue&lacus=vel&at=accumsan&turpis=tellus&donec=nisi&posuere=eu
31,Tom & Viv,5/28/2020,Drama,9.7,108,Dari,
32,Alice (Neco z Alenky),8/23/2022,Animation|Fantasy|Mystery,9.3,96,Bengali,https://imageshack.us/amet/cursus/id.json?nulla=commodo&suspendisse=vulputate&potenti=justo&cras=in&in=blandit&purus=ultrices&eu=enim&magna=lorem&vulputate=ipsum&luctus=dolor&cum=sit&sociis=amet&natoque=consectetuer&penatibus=adipiscing&et=elit&magnis=proin&dis=interdum&parturient=mauris&montes=non&nascetur=ligula&ridiculus=pellentesque&mus=ultrices&vivamus=phasellus&vestibulum=id&sagittis=sapien&sapien=in&cum=sapien&sociis=iaculis&natoque=congue&penatibus=vivamus&et=metus&magnis=arcu&dis=adipiscing&parturient=molestie&montes=hendrerit&nascetur=at&ridiculus=vulputate&mus=vitae&etiam=nisl&vel=aenean&augue=lectus&vestibulum=pellentesque&rutrum=eget&rutrum=nunc&neque=donec&aenean=quis&auctor=orci&gravida=eget&sem=orci&praesent=vehicula&id=condimentum&massa=curabitur&id=in&nisl=libero&venenatis=ut&lacinia=massa&aenean=volutpat&sit=convallis&amet=morbi&justo=odio&morbi=odio&ut=elementum&odio=eu&cras=interdum&mi=eu&pede=tincidunt&malesuada=in&in=leo&imperdiet=maecenas&et=pulvinar&commodo=lobortis&vulputate=est&justo=phasellus
